x,y
0.00100,0.00200
0.00200,0.00200
0.00300,0.00200
0.00400,0.00201
0.00500,0.00202
0.00600,0.00203
0.00700,0.00204
0.00800,0.00206
0.00900,0.00208
0.01000,0.00210
0.01100,0.00212
0.01200,0.00214
0.01300,0.00216
0.01400,0.00219
0.01500,0.00222
0.01600,0.00225
0.01700,0.00228
0.01800,0.00232
0.01900,0.00236
0.02000,0.00240
0.02100,0.00244
0.02200,0.00248
0.02300,0.00252
0.02400,0.00257
0.02500,0.00262
0.02600,0.00267
0.02700,0.00272
0.02800,0.00278
0.02900,0.00284
0.03000,0.00289
0.03100,0.00296
0.03200,0.00302
0.03300,0.00308
0.03400,0.00315
0.03500,0.00322
0.03600,0.00329
0.03700,0.00336
0.03800,0.00344
0.03900,0.00351
0.04000,0.00359
0.04100,0.00367
0.04200,0.00376
0.04300,0.00384
0.04400,0.00393
0.04500,0.00402
0.04600,0.00411
0.04700,0.00420
0.04800,0.00430
0.04900,0.00439
0.05000,0.00449
0.05100,0.00459
0.05200,0.00469
0.05300,0.00480
0.05400,0.00491
0.05500,0.00501
0.05600,0.00513
0.05700,0.00524
0.05800,0.00535
0.05900,0.00547
0.06000,0.00559
0.06100,0.00571
0.06200,0.00583
0.06300,0.00596
0.06400,0.00608
0.06500,0.00621
0.06600,0.00634
0.06700,0.00648
0.06800,0.00661
0.06900,0.00675
0.07000,0.00689
0.07100,0.00703
0.07200,0.00717
0.07300,0.00731
0.07400,0.00746
0.07500,0.00761
0.07600,0.00776
0.07700,0.00791
0.07800,0.00807
0.07900,0.00822
0.08000,0.00838
0.08100,0.00854
0.08200,0.00871
0.08300,0.00887
0.08400,0.00904
0.08500,0.00921
0.08600,0.00938
0.08700,0.00955
0.08800,0.00972
0.08900,0.00990
0.09000,0.01008
0.09100,0.01026
0.09200,0.01044
0.09300,0.01063
0.09400,0.01081
0.09500,0.01100
0.09600,0.01119
0.09700,0.01139
0.09800,0.01158
0.09900,0.01178
0.10000,0.01198
0.10100,0.01218
0.10200,0.01238
0.10300,0.01258
0.10400,0.01279
0.10500,0.01300
0.10600,0.01321
0.10700,0.01342
0.10800,0.01364
0.10900,0.01385
0.11000,0.01407
0.11100,0.01429
0.11200,0.01451
0.11300,0.01474
0.11400,0.01497
0.11500,0.01519
0.11600,0.01543
0.11700,0.01566
0.11800,0.01589
0.11900,0.01613
0.12000,0.01637
0.12100,0.01661
0.12200,0.01685
0.12300,0.01709
0.12400,0.01734
0.12500,0.01759
0.12600,0.01784
0.12700,0.01809
0.12800,0.01835
0.12900,0.01860
0.13000,0.01886
0.13100,0.01912
0.13200,0.01939
0.13300,0.01965
0.13400,0.01992
0.13500,0.02018
0.13600,0.02046
0.13700,0.02073
0.13800,0.02100
0.13900,0.02128
0.14000,0.02156
0.14100,0.02184
0.14200,0.02212
0.14300,0.02240
0.14400,0.02269
0.14500,0.02298
0.14600,0.02327
0.14700,0.02356
0.14800,0.02386
0.14900,0.02415
0.15000,0.02445
0.15100,0.02475
0.15200,0.02505
0.15300,0.02536
0.15400,0.02566
0.15500,0.02597
0.15600,0.02628
0.15700,0.02660
0.15800,0.02691
0.15900,0.02723
0.16000,0.02754
0.16100,0.02787
0.16200,0.02819
0.16300,0.02851
0.16400,0.02884
0.16500,0.02917
0.16600,0.02950
0.16700,0.02983
0.16800,0.03016
0.16900,0.03050
0.17000,0.03084
0.17100,0.03118
0.17200,0.03152
0.17300,0.03187
0.17400,0.03221
0.17500,0.03256
0.17600,0.03291
0.17700,0.03326
0.17800,0.03362
0.17900,0.03397
0.18000,0.03433
0.18100,0.03469
0.18200,0.03505
0.18300,0.03542
0.18400,0.03578
0.18500,0.03615
0.18600,0.03652
0.18700,0.03690
0.18800,0.03727
0.18900,0.03765
0.19000,0.03802
0.19100,0.03840
0.19200,0.03879
0.19300,0.03917
0.19400,0.03956
0.19500,0.03995
0.19600,0.04034
0.19700,0.04073
0.19800,0.04112
0.19900,0.04152
0.20000,0.04192
0.20100,0.04232
0.20200,0.04272
0.20300,0.04312
0.20400,0.04353
0.20500,0.04394
0.20600,0.04435
0.20700,0.04476
0.20800,0.04517
0.20900,0.04559
0.21000,0.04601
0.21100,0.04643
0.21200,0.04685
0.21300,0.04727
0.21400,0.04770
0.21500,0.04813
0.21600,0.04856
0.21700,0.04899
0.21800,0.04943
0.21900,0.04986
0.22000,0.05030
0.22100,0.05074
0.22200,0.05118
0.22300,0.05163
0.22400,0.05207
0.22500,0.05252
0.22600,0.05297
0.22700,0.05342
0.22800,0.05388
0.22900,0.05433
0.23000,0.05479
0.23100,0.05525
0.23200,0.05571
0.23300,0.05618
0.23400,0.05664
0.23500,0.05711
0.23600,0.05758
0.23700,0.05805
0.23800,0.05853
0.23900,0.05900
0.24000,0.05948
0.24100,0.05996
0.24200,0.06044
0.24300,0.06093
0.24400,0.06141
0.24500,0.06190
0.24600,0.06239
0.24700,0.06288
0.24800,0.06338
