x,y,y'
D:\tmp\ai\sampleRecursion\sample2_lstm\dataset\sub_dataset\0.csv,.36248,0.35943282
D:\tmp\ai\sampleRecursion\sample2_lstm\dataset\sub_dataset\1.csv,.36368,0.36070338
D:\tmp\ai\sampleRecursion\sample2_lstm\dataset\sub_dataset\2.csv,.36488,0.3619751
D:\tmp\ai\sampleRecursion\sample2_lstm\dataset\sub_dataset\3.csv,.36608,0.36324808
D:\tmp\ai\sampleRecursion\sample2_lstm\dataset\sub_dataset\4.csv,.36729,0.36452246
D:\tmp\ai\sampleRecursion\sample2_lstm\dataset\sub_dataset\5.csv,.36850,0.36579832
D:\tmp\ai\sampleRecursion\sample2_lstm\dataset\sub_dataset\6.csv,.36971,0.36707512
D:\tmp\ai\sampleRecursion\sample2_lstm\dataset\sub_dataset\7.csv,.37092,0.36835337
D:\tmp\ai\sampleRecursion\sample2_lstm\dataset\sub_dataset\8.csv,.37214,0.36963275
D:\tmp\ai\sampleRecursion\sample2_lstm\dataset\sub_dataset\9.csv,.37335,0.3709138
D:\tmp\ai\sampleRecursion\sample2_lstm\dataset\sub_dataset\10.csv,.37457,0.3721957
D:\tmp\ai\sampleRecursion\sample2_lstm\dataset\sub_dataset\11.csv,.37579,0.37347886
D:\tmp\ai\sampleRecursion\sample2_lstm\dataset\sub_dataset\12.csv,.37701,0.3747634
D:\tmp\ai\sampleRecursion\sample2_lstm\dataset\sub_dataset\13.csv,.37824,0.3760496
D:\tmp\ai\sampleRecursion\sample2_lstm\dataset\sub_dataset\14.csv,.37947,0.3773364
D:\tmp\ai\sampleRecursion\sample2_lstm\dataset\sub_dataset\15.csv,.38069,0.3786252
D:\tmp\ai\sampleRecursion\sample2_lstm\dataset\sub_dataset\16.csv,.38193,0.37991485
D:\tmp\ai\sampleRecursion\sample2_lstm\dataset\sub_dataset\17.csv,.38316,0.38120565
D:\tmp\ai\sampleRecursion\sample2_lstm\dataset\sub_dataset\18.csv,.38439,0.3824979
D:\tmp\ai\sampleRecursion\sample2_lstm\dataset\sub_dataset\19.csv,.38563,0.38379195
D:\tmp\ai\sampleRecursion\sample2_lstm\dataset\sub_dataset\20.csv,.38687,0.3850869
D:\tmp\ai\sampleRecursion\sample2_lstm\dataset\sub_dataset\21.csv,.38811,0.38638332
